name,uri,first_name,last_name
Sonja Schwaiger,,Sonja,Schwaiger
Eva Wahlmüller,,Eva,Wahlmüller
Markus Kunzmann,https://d-nb.info/gnd/1170932126,Markus,Kunzmann
Philipp Stöckle,https://orcid.org/0000-0003-3263-6444,Philipp,Stöckle
Andreas Gellan,,Andreas,Gellan
Omar Siam,,Omar,Siam
Klemens Wagner,,Klemens,Wagner
Katharina Korecky-Kröll,https://d-nb.info/gnd/1053257538,Katharina,Korecky-Kröll
Daniel Schopper,https://id.acdh.oeaw.ac.at/dschopper,Daniel,Schopper
Angela Bergermayer,,Angela,Bergermayer
David Gschösser,https://orcid.org/0000-0001-8960-7439,David,Gschösser
Manuela Stütz,,Manuela,Stütz
Manfred Glauninger,https://d-nb.info/gnd/121569861,Manfred,Glauninger
Sabine Wahl,https://d-nb.info/gnd/101557355X,Sabine,Wahl
Alexandra Grohe,,Alexandra,Grohe
Christina Hemetsberger,,Christina,Hemetsberger
Jan Braun,,Jan,Braun
Agnes Kim,https://orcid.org/0000-0003-4841-9161,Agnes,Kim
Alexandra N. Lenz,https://orcid.org/0000-0002-2783-203X,Alexandra,Lenz
Ingeborg Geyer,https://d-nb.info/gnd/141102624,Ingeborg,Geyer
Wolfgang Koppensteiner,https://d-nb.info/gnd/1293206997,Wolfgang,Koppensteiner
Patrick Zeitlhuber,https://orcid.org/0000-0002-6966-2542,Patrick,Zeitlhuber
Susanna Muhr,,Susanna,Muhr
Jack Bowers,,Jack,Bowers
Fabian Fleißner,https://d-nb.info/gnd/1281133701,Fabian,Fleißner
Stefanie Schöberl,,Stefanie,Schöberl
Maria Luisa Krapp,https://d-nb.info/gnd/1299391699,Maria Luisa,Krapp
